Subset,Detail,ENTREZ,symbol
HvsIM,AT5G38140,833794,NF-YC12
HvsIM,AT5G39190,833914,ATGER2
HvsIM,AT5G40330,834031,ATMYB23
HvsIM,AT5G43730,834393,RSG2
HvsIM,AT5G44180,834441,RLT2
HvsIM,AT5G44400,834466,AtBBE26
HvsIM,AT5G44572,5008298,PROSCOOP6
HvsIM,AT5G44580,834486,PROSCOOP10
HvsIM,AT5G44582,5008301,PROSCOOP11
HvsIM,AT5G48930,834951,HCT
HvsIM,AT5G49620,835024,AtMYB78
HvsIM,AT5G49630,835025,AAP6
HvsIM,AT5G50460,835114,SEC61gamma
HvsIM,AT5G51451,6241076,CLEL7
HvsIM,AT5G53830,835464,MVQ3
HvsIM,AT5G53920,835475,PRMA
HvsIM,AT5G58160,835928,FH13
HvsIM,AT5G58500,28721277,LSH5
HvsIM,AT5G61140,836235,BRR2c
HvsIM,AT5G61740,836296,ABCA10
HvsIM,AT5G63090,836429,LOB
HvsIM,AT5G63850,836505,AAP4
HvsIM,AT5G64800,28721288,CLE21
HvsIM,AT5G66610,836793,DAR7
