,ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0080136,BP,GO:0080136,priming of cellular response to stress,8/1678,13/21061,0.615384615384615,7.72384707068855,7.13507840105233,1.42865770798259e-06,2.17777331357113e-05,1.65067333542814e-05,AT2G14610/AT3G51860/AT3G25010/AT2G32680/AT5G47850/AT3G45860/AT4G36990/AT3G45640,8
GO:0046777,BP,GO:0046777,protein autophosphorylation,33/1678,170/21061,0.194117647058824,2.4364194068569,5.53274652410085,1.4288288552681e-06,2.17777331357113e-05,1.65067333542814e-05,AT5G39000/AT3G04530/AT1G05100/AT3G45410/AT1G76040/AT1G65790/AT3G59700/AT5G60280/AT5G25440/AT5G58350/AT4G28490/AT5G45800/AT1G18890/AT4G04710/AT2G17290/AT5G14640/AT1G61380/AT1G09970/AT2G39660/AT1G16670/AT2G11520/AT1G65800/AT5G12480/AT2G17520/AT2G43850/AT4G23250/AT3G61960/AT4G04695/AT3G21630/AT4G21940/AT2G39360/AT4G08500/AT2G46500,33
GO:0006790,BP,GO:0006790,sulfur compound metabolic process,57/1678,374/21061,0.152406417112299,1.91289126984633,5.24107967037594,1.59193479447729e-06,2.3865973271303e-05,1.80895437819378e-05,AT3G60120/AT2G29470/AT5G24540/AT1G69930/AT2G30770/AT3G60140/AT3G26830/AT1G04580/AT2G26400/AT2G43000/AT2G29460/AT5G62480/AT1G66280/AT1G69920/AT1G74590/AT3G09270/AT5G13330/AT1G02920/AT1G02930/AT4G02520/AT1G67810/AT1G17170/AT2G03770/AT1G17180/AT3G04070/AT5G48180/AT2G02930/AT5G44585/AT1G12160/AT2G02390/AT4G08850/AT4G33150/AT2G33070/AT1G02940/AT3G52430/AT3G22460/AT2G44480/AT3G56400/AT1G21120/AT5G57220/AT3G11580/AT2G29490/AT5G39950/AT4G39950/AT2G29420/AT2G38470/AT1G18570/AT4G26910/AT5G43780/AT3G24170/AT1G59700/AT1G78380/AT3G21220/AT5G63790/AT3G45640/AT1G59870/AT1G75270,57
GO:0015748,BP,GO:0015748,organophosphate ester transport,16/1678,52/21061,0.307692307692308,3.86192353534427,6.07955331250057,1.60707727777281e-06,2.38971084637925e-05,1.81131431307385e-05,AT1G61800/AT4G28390/AT3G25610/AT5G13490/AT5G04930/AT3G12740/AT4G23010/AT3G13900/AT1G68710/AT1G72700/AT1G13210/AT2G38530/AT5G27520/AT2G39970/AT5G44240/AT2G47490,16
GO:0034976,BP,GO:0034976,response to endoplasmic reticulum stress,24/1678,109/21061,0.220183486238532,2.7635783096959,5.43137662444393,3.97643058242465e-06,5.46149315295693e-05,4.1396141017204e-05,AT1G09080/AT5G64510/AT1G08450/AT5G42050/AT3G54960/AT1G04980/AT1G77510/AT3G53230/AT2G02810/AT5G47120/AT5G42020/AT1G42990/AT2G33120/AT4G24190/AT1G14360/AT3G24090/AT5G61790/AT5G28540/AT1G21750/AT1G09210/AT2G17520/AT3G10800/AT2G47470/AT4G28270,24
GO:1901617,BP,GO:1901617,organic hydroxy compound biosynthetic process,39/1678,227/21061,0.171806167400881,2.15638241455897,5.15398014409815,4.00131264350043e-06,5.46149315295693e-05,4.1396141017204e-05,AT4G18350/AT3G01420/AT1G65690/AT2G34500/AT4G34131/AT1G64160/AT2G15490/AT1G73805/AT1G30100/AT2G33380/AT4G34135/AT1G74710/AT4G39030/AT5G26920/AT2G16720/AT3G26840/AT3G52430/AT5G53970/AT2G15480/AT5G58730/AT3G09830/AT5G58770/AT2G18950/AT5G63580/AT1G64970/AT4G21534/AT1G06570/AT1G54570/AT5G62570/AT4G25800/AT2G16530/AT2G41070/AT5G63560/AT1G20780/AT3G16050/AT2G27150/AT1G16540/AT5G54160/AT5G24160,39
GO:0016311,BP,GO:0016311,dephosphorylation,37/1678,213/21061,0.173708920187793,2.18026434331056,5.09391335181305,5.38933715730555e-06,7.14282439182018e-05,5.41400231592022e-05,AT1G47510/AT5G59220/AT1G05000/AT5G51760/AT3G17790/AT3G52820/AT3G62260/AT3G52780/AT5G65090/AT1G34750/AT3G02800/AT5G06750/AT4G18010/AT5G43380/AT1G07630/AT4G03960/AT1G72770/AT1G17710/AT2G30020/AT1G22280/AT2G28890/AT2G32960/AT2G01900/AT2G40180/AT2G03450/AT2G29400/AT4G33920/AT1G07430/AT3G55270/AT5G11860/AT2G38740/AT2G39840/AT3G05580/AT2G01180/AT5G52200/AT1G64040/AT5G56610,37
GO:0009723,BP,GO:0009723,response to ethylene,35/1678,197/21061,0.177664974619289,2.22991777738787,5.10299412984989,5.72555106319806e-06,7.53383661481241e-05,5.71037542615058e-05,AT1G15520/AT5G40990/AT1G65500/AT1G68765/AT5G45890/AT5G13330/AT5G44420/AT3G12500/AT1G65484/AT1G29860/AT3G50480/AT4G02380/AT3G45410/AT3G04720/AT1G65486/AT5G10520/AT3G23240/AT3G51430/AT1G64060/AT3G52430/AT3G56400/AT5G39610/AT1G22890/AT1G65490/AT4G16110/AT1G06160/AT1G25220/AT5G05730/AT1G28370/AT2G44840/AT5G47220/AT3G24500/AT3G03450/AT4G32040/AT5G60360,35
GO:0010646,BP,GO:0010646,regulation of cell communication,53/1678,357/21061,0.148459383753501,1.86335106152115,4.8407100470132,7.93516536559712e-06,0.000100787621206091,7.63933683223056e-05,AT1G51800/AT4G11890/AT3G55970/AT2G45130/AT4G35380/AT5G59220/AT1G15380/AT1G05100/AT2G46400/AT2G04450/AT3G26940/AT1G15670/AT4G23810/AT4G37900/AT5G43410/AT3G22160/AT5G26920/AT2G32460/AT3G52430/AT1G70810/AT1G14780/AT2G47000/AT2G01540/AT1G23140/AT1G01720/AT4G23450/AT3G56400/AT3G63010/AT1G67800/AT1G76650/AT5G45110/AT3G02140/AT1G17380/AT4G14400/AT2G33150/AT5G11260/AT3G17410/AT1G64280/AT1G19180/AT1G07430/AT5G66070/AT4G33360/AT3G43440/AT4G19660/AT3G03450/AT1G29690/AT1G59870/AT5G20910/AT5G52200/AT3G46110/AT1G75270/AT1G28380/AT5G60360,53
GO:0009072,BP,GO:0009072,aromatic amino acid metabolic process,20/1678,85/21061,0.235294117647059,2.95323564467503,5.30905751959965,8.67854252327726e-06,0.000109469339828097,8.29737967561245e-05,AT2G24850/AT4G22680/AT1G44542/AT4G12350/AT2G02390/AT5G53970/AT3G44720/AT4G34180/AT3G54640/AT2G04400/AT4G39950/AT1G25220/AT5G05730/AT1G06570/AT3G28930/AT2G43820/AT2G40000/AT4G27070/AT3G28940/AT5G34930,20
