"UMVsIM_log2FoldChange" "UMVsIM_padj"
"AT1G01050" 0.36355047978212 0.040242125862289
"AT1G01070" 0.996763038652725 0.0111770103241975
"AT1G01080" -1.81606842349779 3.79785309772937e-18
"AT1G01090" -0.861899971992527 4.69029736681644e-07
"AT1G01110" -1.23724448912917 0.00249115919851353
"AT1G01170" -0.75457298824269 0.00126913361686267
"AT1G01180" 0.683539499218735 0.0279046054907629
"AT1G08765" -3.13488781550717 0.0123815684865621
"AT1G01190" -1.27056615472699 0.0204626513734304
"AT1G01200" -1.80268447989782 0.00693609783623125
"AT1G01220" -0.658705834947516 0.00110007448664611
"AT1G01225" -0.598327621148691 0.0228176955016225
"AT1G01250" -1.9037829738205 0.000546390910753814
"AT1G01300" -0.937146940231897 0.000647458399044018
"AT1G01350" 0.405728459713344 0.00320142273874471
"AT1G01380" -1.48175445296905 0.0137657307347652
"AT1G01390" -1.00312769508165 0.0264356028632459
"AT1G01430" -0.889715546674198 5.05520553133762e-05
"AT1G01440" 0.475394737326751 0.000452697301526148
"AT1G01448" -0.826192588031899 0.00381425277597412
"AT1G01510" -0.432392803418446 6.56135540700469e-05
"AT1G01540" -0.737837648224705 0.00154857926593946
"AT1G01550" 0.50931580273086 0.000610716767554438
"AT1G01610" -0.596006390207452 0.00660968081939623
"AT1G01620" -1.13030152720849 0.0129839384876418
"AT1G01650" 0.711587100651012 0.00135430286129022
"AT1G01670" 0.664914834693925 0.0226066093013739
"AT1G01725" 0.831241300305577 0.00110153041164424
"AT1G01740" -0.592960154757205 0.0114777020556319
"AT1G01760" -0.917805318724996 0.0033585059047032
"AT1G01790" -1.15200264347838 3.5377590325513e-07
"AT1G01800" 0.375100676273848 4.56708649550869e-05
"AT1G01830" 0.717265636329161 0.0409523629626896
"AT1G01860" -1.28013699925482 1.07167329371834e-09
"AT1G01900" -1.04144846553707 0.0331952165997147
"AT1G01920" -1.11567561927178 0.000243050410747238
"AT1G01970" -1.05907452734541 1.28217522100112e-06
"AT1G02010" -0.74239949302792 0.00660692705160728
"AT1G02060" -0.821936784862802 0.0304061967896298
"AT1G02100" 0.613441645446055 0.000340446595598066
"AT1G02110" -0.912037816979153 0.00086266242849663
"AT1G02120" 0.780426076901076 2.81957760853143e-10
"AT1G02145" -0.269637582376907 0.0480658615595408
"AT1G02150" -1.23725034168195 3.47002682890759e-10
"AT1G02180" -1.47937547154845 1.44814442826563e-08
"AT1G02280" -1.04896435519465 3.01696558457815e-07
"AT1G02300" -1.12344800072439 0.00013677945808094
"AT1G02305" 0.909234021001025 0.00688528310798538
"AT1G02330" 0.468837577116835 0.00376727014385585
"AT1G02340" -1.8455365857297 0.000876993916656634
"AT1G02350" -1.68749918246526 0.00098909355726577
"AT1G04107" -1.25059788496735 0.000424230048461706
"AT1G02410" 0.60054182443724 6.97797393546457e-06
"AT1G02500" 0.416495294867688 0.0224165264878987
"AT1G02620" -2.22084446720231 0.00680901167229941
"AT1G02690" -0.722228169189931 0.00701986523141588
"AT1G02720" -0.86842868766629 1.47487161116616e-05
"AT1G02730" -0.998571926353991 0.000136890286688036
"AT1G02740" 0.590844826744608 1.14080354113865e-07
"AT1G02750" 0.787527916328399 1.13334926334105e-07
"AT1G02800" -1.20267733854268 0.0129034127547246
"AT1G02880" 0.684389686077829 0.000160897348652723
"AT1G02910" -0.626649005543304 2.07993516834282e-05
"AT1G02960" -0.578257222084717 0.00506981402891227
"AT1G02970" -1.06130146680708 0.00561348069231495
"AT1G02990" 0.374540545923366 0.000746165567101039
"AT1G03000" -0.560430926654667 0.00128232956332367
"AT1G03020" -1.59815587980434 0.000363056734835409
"AT1G03030" 0.958722017545619 1.78177913220385e-08
"AT1G03040" 0.583033431986825 0.000299762451050076
"AT1G03060" 0.577020945732271 0.0103339129800675
"AT1G03080" 0.634466064207076 0.00285352420292796
"AT1G03100" -1.07442143819291 0.0414092777793516
"AT1G03110" -0.719874814160423 0.0246690875677021
"AT1G03130" -1.0682420903515 8.78652170019279e-06
"AT1G03150" 0.574916473713997 0.00198478611673323
"AT1G03160" -1.09419071156889 2.07053675755874e-11
"AT1G03260" -0.365357905586168 0.0377465994346982
"AT1G03270" -1.55552625778446 3.20620070683577e-06
"AT1G03280" 0.356978181645337 0.0262775341569938
"AT1G03310" -1.62688562620394 1.49971364802626e-06
"AT1G03330" 0.371758776090123 0.0244185450761091
"AT1G03350" 0.540681904904724 0.00381505625021305
"AT1G03430" 0.85114886547212 2.05031866754018e-08
"AT1G03440" -0.462733747151027 0.0459738937538221
"AT1G03470" -1.3129766838141 0.00021766042988512
"AT1G03475" -0.621675100712721 0.00517425936068044
"AT1G03510" -1.14605226522335 0.00322484261061473
"AT1G03520" -0.606781883429285 0.00406892711971972
"AT1G03560" -0.533923732821183 0.00785605648005029
"AT1G03600" -1.43017841729524 7.36480373450559e-13
"AT1G03630" -1.42712583274969 2.5911976298442e-06
"AT1G03680" -1.22188057335303 6.58384604940238e-21
"AT1G03687" -0.739323170621226 1.73814543574814e-05
"AT1G03750" 0.412003755672024 0.0417656018276055
"AT1G03770" 0.547628237846945 0.0113451896498405
"AT1G03780" -0.858857919559273 0.00893955818442054
"AT1G03830" -1.35551134903855 5.96860576199859e-05
"AT1G03930" -0.601846280127775 0.000719761042401977
"AT1G03950" 0.7335835325767 1.29990317968351e-05
"AT1G03960" -0.521773791063069 0.0231837723887268
"AT1G04020" -1.00222045502641 0.0178057494125461
"AT1G04040" -0.966852109953839 0.0213592386696129
"AT1G04050" -0.870734744094926 0.00105756186629213
"AT1G04090" -1.97202778429981 0.00593786448842141
"AT1G04110" -1.34960597396958 0.0120447917766645
"AT1G04120" 0.897271166067278 9.56707863446343e-06
"AT1G04130" 0.65599643271894 0.0104863604541271
"AT1G04160" -1.64335970080583 2.91864634907563e-07
"AT1G04180" -5.55677122514961 3.44875669115842e-05
"AT1G04200" 0.607614352634476 0.00145801238006285
"AT1G04230" 0.641237575519681 1.82905277070575e-06
"AT1G04240" -1.94957308503109 1.73483630514855e-06
"AT1G04260" 0.683554001842853 0.000120643448764207
"AT1G04340" 0.346392604280554 0.0113516031469096
"AT1G04360" -1.07216691657691 0.00208627835076346
"AT1G04420" -1.72850337153321 1.87106204106397e-16
"AT1G04430" -0.918926808326205 0.00172453006480849
"AT1G04440" 0.511871033747329 0.0309990161979844
"AT1G04590" -0.633265364620865 8.86870627118785e-05
"AT1G04610" -3.58676164320752 0.00102981903745411
"AT1G04620" -2.05236506424247 1.93296839743648e-05
