"","x"
"291","AT1G60470"
"292","AT3G45330"
"293","AT2G14620"
"294","AT3G47340"
"295","AT2G40740"
"296","AT4G11070"
"297","AT2G30550"
"298","AT5G57510"
"299","AT5G43580"
"300","AT1G08050"
"301","AT5G62480"
"302","AT3G57460"
"303","AT3G46690"
"304","AT3G60966"
"305","AT1G57650"
"306","AT2G39410"
"307","AT5G49690"
"308","AT3G50480"
"309","AT5G59220"
"310","AT2G43550"
"311","AT1G21525"
"312","AT5G38710"
"313","AT1G47980"
"314","AT5G50200"
"315","AT5G05340"
"316","AT3G49210"
"317","AT3G51440"
"318","AT5G40780"
"319","AT2G47130"
"320","AT1G02920"
"321","AT4G31800"
"322","AT2G32210"
"323","AT5G20630"
"324","AT2G00580"
"325","AT4G20860"
"326","AT1G70690"
"327","AT5G62150"
"328","AT4G38560"
"329","AT1G18860"
"330","AT4G36990"
"331","AT3G28580"
"332","AT1G07900"
"333","AT3G25610"
"334","AT3G61280"
"335","AT1G08090"
"336","AT5G26690"
"337","AT4G08950"
"338","AT5G07010"
"339","AT1G60095"
"340","AT4G14370"
"341","AT2G38340"
"342","AT1G75000"
"343","AT2G46400"
"344","AT3G46090"
"345","AT5G08240"
"346","AT4G14390"
"347","AT1G73010"
"348","AT5G13330"
"349","AT5G25250"
"350","AT1G67520"
"351","AT1G16420"
"352","AT1G65845"
"353","AT3G60415"
"354","AT2G33080"
"355","AT1G51850"
"356","AT2G04495"
"357","AT3G51330"
"358","AT3G05800"
"359","AT3G44326"
"360","AT3G48020"
"361","AT3G55150"
"362","AT1G64940"
"363","AT1G05000"
"364","AT1G29640"
"365","AT5G18350"
"366","AT5G28237"
"367","AT3G04720"
"368","AT1G27565"
"369","AT1G61080"
"370","AT2G47190"
"371","AT5G25180"
"372","AT1G09500"
"373","AT2G17740"
"374","AT2G03850"
"375","AT4G21850"
"376","AT5G46950"
"377","AT2G37770"
"378","AT5G44420"
"379","AT1G63245"
"380","AT1G52890"
"381","AT1G79680"
"382","AT2G25090"
"383","AT1G19610"
"384","AT3G45130"
"385","AT1G09935"
"386","AT4G25480"
"387","AT5G24090"
"388","AT4G02280"
"389","AT4G20110"
"390","AT1G66280"
"391","AT1G02360"
"392","AT3G07650"
"393","AT5G24080"
"394","AT5G17330"
"395","AT1G65970"
"396","AT1G29715"
"397","AT5G38540"
"398","AT4G14365"
"399","AT1G45145"
"400","AT1G56550"
"401","AT1G69810"
"402","AT1G69480"
"403","AT4G10960"
"404","AT5G24470"
"405","AT2G14560"
"406","AT1G16090"
"407","AT4G28420"
"408","AT2G34600"
"409","AT4G13900"
"410","AT2G43590"
"411","AT1G70140"
"412","AT3G04070"
"413","AT1G53620"
"414","AT5G43650"
"415","AT4G37530"
"416","AT2G42540"
"417","AT5G57480"
"418","AT3G24420"
"419","AT1G07620"
"420","AT2G19800"
"421","AT3G57380"
"422","AT5G27420"
"423","AT2G21900"
"424","AT3G22840"
"425","AT1G01480"
"426","AT3G02705"
"427","AT5G12050"
"428","AT1G79450"
"429","AT3G05880"
"430","AT1G01340"
"431","AT5G59820"
"432","AT5G54610"
"433","AT3G11010"
"434","AT5G57220"
"435","AT4G23810"
"436","AT5G35200"
"437","AT1G61120"
"438","AT4G21830"
"439","AT1G15670"
"440","AT4G37150"
"441","AT3G26500"
"442","AT1G14540"
