"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062012","GO:0062012","regulation of small molecule metabolic process","52/3797","134/20875",1.59642779605929e-08,5.76807682379456e-07,3.49588761552932e-07,"836300/827612/824396/831359/838824/825110/841427/830626/816966/821634/815007/821297/839293/832750/835882/838147/824340/836163/830961/816390/837583/829556/838668/844298/826918/7922308/843830/824825/834591/822529/821339/824599/818701/828213/822530/827017/830153/842775/842462/836367/819826/837095/843886/818708/815963/836666/827479/830825/814873/843161/834943/837277",52
"GO:0045892","GO:0045892","negative regulation of DNA-templated transcription","74/3797","218/20875",1.72558887573807e-08,6.03682203512177e-07,3.65876739066268e-07,"837584/829409/843216/831157/824390/817962/839740/842527/839032/821265/836452/818568/828657/831354/817597/842283/820831/829901/820094/831529/831743/843342/838879/826093/838354/817055/829390/828094/821192/817830/828770/821640/828254/825890/830755/827788/833712/829710/843845/819334/830336/843874/819172/839392/831164/829843/830361/839495/824621/842938/834784/836364/839929/821667/827102/816798/830515/832085/843161/817770/831813/822344/818178/830512/816365/835948/817975/818887/831256/825468/827246/825470/5008019/831978",74
"GO:1902679","GO:1902679","negative regulation of RNA biosynthetic process","74/3797","218/20875",1.72558887573807e-08,6.03682203512177e-07,3.65876739066268e-07,"837584/829409/843216/831157/824390/817962/839740/842527/839032/821265/836452/818568/828657/831354/817597/842283/820831/829901/820094/831529/831743/843342/838879/826093/838354/817055/829390/828094/821192/817830/828770/821640/828254/825890/830755/827788/833712/829710/843845/819334/830336/843874/819172/839392/831164/829843/830361/839495/824621/842938/834784/836364/839929/821667/827102/816798/830515/832085/843161/817770/831813/822344/818178/830512/816365/835948/817975/818887/831256/825468/827246/825470/5008019/831978",74
"GO:0016051","GO:0016051","carbohydrate biosynthetic process","110/3797","366/20875",1.81737386734187e-08,6.25858125565855e-07,3.79317012772504e-07,"827612/818128/818258/843027/825650/819567/818212/839686/844082/842108/831554/843776/822338/829984/825476/816747/821148/837189/831419/815007/818902/817755/836456/814857/828355/842752/831400/837059/816556/838450/836504/831970/818220/818076/828953/816611/832150/817830/833302/824459/822241/820002/821312/815080/814643/844049/828690/818766/843830/836306/839635/835035/837610/836523/841588/832042/817818/816652/834883/820474/821339/827438/821245/835849/843450/836262/835220/836216/830153/839030/832358/822277/840895/819353/830052/838203/830076/843345/821206/824134/834106/816821/837095/820461/840098/817922/824572/840493/840847/816672/829900/837885/839723/817426/818708/836343/815963/837848/842961/824746/830549/816845/842622/825414/834943/828732/844144/837277/822807/830135",110
"GO:0019748","GO:0019748","secondary metabolic process","111/3797","371/20875",2.05470551124075e-08,6.96703222580709e-07,4.22254460528666e-07,"836300/827612/824238/820209/829779/817628/824396/838824/837304/841427/842281/830626/820083/822338/839515/819423/839280/818902/816815/826456/821938/820402/831183/819056/844383/834125/821463/820331/818429/829556/838684/838668/834124/826975/818686/835557/816585/821519/835300/838165/829277/817637/828100/832311/830153/843750/842775/823491/823557/842938/816765/841593/841670/836367/820082/827931/821678/821003/834106/830096/816773/830078/837095/835028/829880/836475/817847/830088/834951/817609/819386/841842/839602/838440/821479/843126/815963/836666/836003/843749/836280/827011/842897/832365/832383/829572/820639/828364/831202/814873/829551/842928/830416/843161/828469/821508/834943/838211/832366/830302/838210/837277/825068/843165/844173/841144/838289/841143/818912/818746/842720",111
"GO:0032101","GO:0032101","regulation of response to external stimulus","78/3797","235/20875",2.19081019699302e-08,7.31597829420093e-07,4.43403212118683e-07,"829308/839566/825650/841427/842281/842432/837393/843615/835150/821832/843620/830142/818077/842736/825139/832170/841327/844066/821297/835112/836686/832750/834536/824405/835379/828599/834561/820292/829785/834042/842754/831155/828782/829589/832530/836163/840859/844407/836134/826093/836819/841792/837289/820713/839160/837999/819740/828626/827788/832693/826918/829710/833534/838057/836111/829854/824940/828213/840148/837464/819419/816765/822184/817369/833963/835358/816346/821966/824072/838606/827093/841140/28720712/820159/834943/821788/819126/2745743",78
"GO:0006913","GO:0006913","nucleocytoplasmic transport","46/3797","114/20875",2.59452981235372e-08,8.40932898004059e-07,5.09668472426761e-07,"819803/844268/839158/830499/839081/836381/820629/821074/842002/820048/828875/819605/834184/830452/820997/832102/834304/831565/843588/842943/837851/837869/835429/833750/844407/820234/837579/828491/824604/816198/818668/832052/831675/814908/837448/831253/816462/835612/839620/821174/822329/835973/832123/842783/842922/834532",46
"GO:0051169","GO:0051169","nuclear transport","46/3797","114/20875",2.59452981235372e-08,8.40932898004059e-07,5.09668472426761e-07,"819803/844268/839158/830499/839081/836381/820629/821074/842002/820048/828875/819605/834184/830452/820997/832102/834304/831565/843588/842943/837851/837869/835429/833750/844407/820234/837579/828491/824604/816198/818668/832052/831675/814908/837448/831253/816462/835612/839620/821174/822329/835973/832123/842783/842922/834532",46
"GO:0031667","GO:0031667","response to nutrient levels","88/3797","277/20875",2.94356506214609e-08,9.37241519415216e-07,5.68038727738041e-07,"817230/843027/831888/825110/835427/824384/842193/828805/842787/840446/831681/842527/832428/841765/820113/844066/829737/836452/839621/829440/829266/835379/820292/821357/816141/837069/830063/834298/837278/824340/836163/838879/825452/821244/819961/825344/837423/844298/834213/843444/819941/836550/838057/843550/820656/814776/822396/838580/827118/828213/842043/834574/823557/829661/833535/822159/839349/825415/819332/844135/824134/819329/819125/28717277/835028/832243/820921/842540/838983/821924/831326/830293/824557/826630/844415/821826/843161/815949/834943/818723/824864/821134/6240993/832538/841144/837195/841143/836628",88
"GO:0030036","GO:0030036","actin cytoskeleton organization","47/3797","118/20875",2.97671988924978e-08,9.37241519415216e-07,5.68038727738041e-07,"831687/820600/828991/833544/817721/834412/816548/839267/818077/841458/835554/827594/835516/829139/832171/829456/838333/818773/822317/824908/842285/843934/821534/828777/838614/816290/819230/836110/836111/821339/822136/816495/823959/829654/822157/819943/819717/816795/823743/816171/834901/829750/843917/823744/820385/838598/835761",47
"GO:0007010","GO:0007010","cytoskeleton organization","99/3797","324/20875",3.7526567450182e-08,1.16490922056621e-06,7.06022447654277e-07,"831687/820600/839062/820052/828991/832437/833544/821439/842782/817721/831870/834412/816747/816548/839267/818077/819621/841937/842414/841458/835554/832860/821634/827594/823396/836723/832409/825245/839083/835516/829139/841786/832171/820014/829456/834833/838333/818773/822317/833879/824908/831976/842285/843934/839678/821534/828777/838614/832060/820142/834213/816290/818733/819230/815304/821819/835035/836110/836111/841412/836390/829367/821339/835011/814896/822136/816495/823959/839878/829654/822157/816416/819943/824666/819717/816795/823743/814722/826539/816171/821277/832451/819697/818161/834901/831100/824087/829750/824542/843917/823744/820385/838598/831412/817504/827588/843254/835761/831813",99
"GO:0009991","GO:0009991","response to extracellular stimulus","98/3797","320/20875",3.87705343461185e-08,1.18680913470618e-06,7.19295439842462e-07,"817230/843027/831888/825110/835427/824384/842193/828805/838420/842787/840446/831681/842527/832428/841765/820113/844066/829737/836452/839621/829440/829266/835379/820292/821357/816141/837069/830063/834298/837278/824340/836163/838879/825452/821244/819961/825344/837423/844298/834213/843444/819941/816585/836550/838057/843550/820656/814776/822396/838580/827118/828213/842043/834574/823557/840100/842462/829661/833535/822159/839349/825415/819332/844135/824134/819329/819125/28717277/843129/835028/832243/820921/837455/842540/838983/831087/821924/831326/830293/824557/826630/844415/821826/843161/815949/815058/834943/818723/824864/821134/6240993/832538/815055/822391/841144/837195/841143/836628",98
"GO:0042592","GO:0042592","homeostatic process","132/3797","466/20875",3.93152326576981e-08,1.18699688736393e-06,7.19409232049299e-07,"838028/818754/817800/829337/831483/835427/821047/841427/842281/840543/844299/829142/828899/830991/824539/829112/824714/832428/827470/828981/844166/838199/820622/814729/814844/834842/824900/834618/839268/816988/820384/837280/820831/835379/830529/825834/841878/837140/821357/832740/830063/837550/839651/828316/840859/816413/837235/817400/843934/817055/815004/838614/842865/832773/843138/819999/820587/816248/835939/828764/823882/830305/818766/835557/828722/836550/838057/843015/824349/829226/828747/842710/814776/828213/837365/816018/831259/835697/825892/826819/842719/835841/834806/827676/830843/819940/830453/844422/829919/829661/840139/824775/833535/839349/821899/816847/842776/821260/828374/819329/837997/819858/830517/829747/831874/824087/820582/824462/841529/820098/843186/821924/839411/830293/820335/843099/831501/842909/843161/829844/838622/818723/824864/821788/822203/841044/838710/835246/822112/844014/820771/824790",132
"GO:0031329","GO:0031329","regulation of cellular catabolic process","45/3797","112/20875",4.26777514620304e-08,1.27110492192318e-06,7.70385015722853e-07,"839244/841427/819561/816309/837181/831681/839621/839689/822473/844417/841891/832507/828876/825452/829557/824560/821463/818429/820548/837583/840040/824853/825221/837511/838668/825027/831941/844250/837357/838387/817767/819941/832242/830963/824599/820996/838495/826714/838880/828579/823551/828598/842441/830825/835246",45
"GO:0044272","GO:0044272","sulfur compound biosynthetic process","58/3797","160/20875",4.39891441764472e-08,1.2926943168652e-06,7.8346980996367e-07,"840521/831888/817628/833655/818902/826456/839429/829440/832223/835466/818429/829106/839303/824385/839031/826975/816585/837610/842375/818260/822181/819654/825167/838580/816271/827118/839891/815134/829277/842043/828100/830153/843750/816765/833497/840346/834407/821292/821003/818937/835567/825376/838440/815963/843749/832872/827011/842897/832365/821845/821508/834943/838211/832366/838210/837277/825068/818912",58
"GO:0010015","GO:0010015","root morphogenesis","104/3797","347/20875",5.14839333111071e-08,1.49303406602211e-06,9.04890739221536e-07,"823405/818128/820600/827022/839062/832051/828991/837303/824484/842281/818030/819804/843499/822557/817721/837346/831554/826172/837958/834412/816747/830794/816548/819621/829754/821634/843482/819927/834695/842251/28717391/837804/836528/835882/831889/844050/829139/842752/832171/820530/843070/829589/824309/817206/821610/818849/831141/831970/834200/838891/821736/821534/843202/820002/820416/829019/819671/827788/831809/834213/816878/837150/825905/827088/817649/819979/841258/843432/839364/814776/829654/819662/829035/822159/843393/821378/818390/837095/835028/831874/827102/843917/828760/840078/816798/844105/838598/830515/822075/826934/816961/28721288/832620/843208/834713/843161/836598/835401/820386/829612/827503/827917/837588/814929",104
"GO:0002831","GO:0002831","regulation of response to biotic stimulus","73/3797","220/20875",6.19165719368184e-08,1.77226135777595e-06,1.0741234420755e-06,"829308/839566/825650/841427/842281/842432/837393/843615/835150/821832/843620/830142/818077/842736/825139/832170/841327/844066/821297/835112/836686/832750/834536/824405/828599/834561/829785/834042/842754/831155/828782/829589/832530/836163/840859/844407/836134/826093/836819/841792/837289/820713/839160/837999/819740/828626/827788/832693/826918/829710/833534/836111/829854/824940/840148/837464/819419/816765/822184/817369/833963/835358/816346/821966/824072/838606/827093/841140/28720712/820159/821788/819126/2745743",73
"GO:0006897","GO:0006897","endocytosis","38/3797","89/20875",7.05050893877509e-08,1.99222073090517e-06,1.20743533647849e-06,"817230/833946/824863/831043/837958/820284/829804/820001/832596/825098/842251/821081/830905/832542/832340/838666/814689/829362/826890/838765/835851/831937/818918/827303/821573/827076/826889/828700/838056/816466/829618/834213/834433/817118/818594/835105/835972/840228",38
"GO:0090351","GO:0090351","seedling development","75/3797","229/20875",7.56100708797165e-08,2.10942526859361e-06,1.27847008589421e-06,"836300/837531/829841/842314/831699/817800/838824/824751/823602/843776/819828/830916/842988/843777/836778/818862/827925/835878/831700/828945/839621/815862/815120/831020/836428/830144/817597/830345/835379/825834/828239/828782/830744/842951/821075/837235/829022/818816/840311/829390/820816/828953/828094/820295/817830/816837/825517/828303/837113/838057/838388/831086/832371/823991/843505/841922/818273/841284/821338/5007942/836466/821899/822388/837417/824379/819129/821251/834300/843875/842536/819899/830812/835761/834805/819425",75
"GO:0055082","GO:0055082","intracellular chemical homeostasis","81/3797","254/20875",8.5650066025713e-08,2.35965931900839e-06,1.43013070771881e-06,"838028/818754/817800/829337/835427/821047/841427/844299/829142/828899/830991/824539/829112/824714/832428/828981/844166/838199/820622/814729/824900/839268/816988/820384/837280/835379/841878/821357/832740/830063/837550/839651/828316/840859/816413/817400/843934/817055/815004/838614/842865/832773/843138/819999/820587/835939/823882/835557/836550/838057/843015/824349/829226/828747/814776/828213/816018/825892/842719/835841/834806/830843/819940/844422/824775/833535/821899/816847/841529/820098/821924/839411/830293/818723/824864/841044/838710/822112/844014/820771/824790",81
"GO:0009894","GO:0009894","regulation of catabolic process","56/3797","156/20875",1.09398654573988e-07,2.97672388495149e-06,1.80411816314998e-06,"839244/829463/841427/819561/816309/837181/831681/830916/839621/816737/839689/822473/844417/823767/841891/832507/828876/825452/829557/824560/821463/818429/820548/837583/840040/824853/820295/825221/837511/816580/828964/838609/838668/825027/831941/844250/837357/838387/817767/819941/834158/832242/830963/824599/820996/838495/826714/838880/830909/828579/823551/840123/828598/842441/830825/835246",56
"GO:0032879","GO:0032879","regulation of localization","52/3797","141/20875",1.13435746216482e-07,3.04893152025765e-06,1.84788141140842e-06,"823405/817230/842281/822557/826172/837958/821198/834184/835112/839621/844050/814725/835777/828782/828859/830063/826890/817440/836819/827303/823924/826889/827407/819999/834213/832523/837150/823882/821159/824341/817649/832368/816316/843141/817362/839349/830000/835972/837538/843973/832562/831258/836598/6240993/838674/828681/817013/835875/829301/841144/841143/833868",52
"GO:0044270","GO:0044270","cellular nitrogen compound catabolic process","89/3797","289/20875",1.21427760490505e-07,3.18603314429848e-06,1.93097528900314e-06,"836300/839244/823849/827134/819567/842281/830626/819561/828214/816309/837181/843996/837507/814663/829566/828127/839621/816307/817959/829266/839689/829765/829211/820530/842269/818511/819056/844417/820529/841891/828876/816257/829557/818220/833507/815269/821463/843900/827656/820548/840040/818559/824853/825221/837511/824459/831486/832060/838668/825027/831941/844250/837357/814826/838387/819563/814643/817767/818204/839109/816652/832242/830963/829854/824599/820996/838449/829675/824172/838495/827413/826714/816765/830052/820082/843207/839497/816623/820461/821250/817196/828579/816672/823551/823847/839602/841140/842441/837660",89
"GO:0046700","GO:0046700","heterocycle catabolic process","89/3797","289/20875",1.21427760490505e-07,3.18603314429848e-06,1.93097528900314e-06,"836300/839244/823849/827134/819567/842281/830626/819561/828214/816309/837181/843996/837507/814663/829566/828127/839621/816307/817959/829266/839689/829765/829211/820530/842269/818511/819056/844417/820529/841891/828876/816257/829557/818220/833507/815269/821463/843900/827656/820548/840040/818559/824853/825221/837511/824459/831486/832060/838668/825027/831941/844250/837357/814826/838387/819563/814643/817767/818204/839109/816652/832242/830963/829854/824599/820996/838449/829675/824172/838495/827413/826714/816765/830052/820082/843207/839497/816623/820461/821250/817196/828579/816672/823551/823847/839602/841140/842441/837660",89
"GO:0030865","GO:0030865","cortical cytoskeleton organization","31/3797","67/20875",1.23043812035159e-07,3.19045366735872e-06,1.93365445786523e-06,"820052/832437/816747/818077/841937/842414/821634/836723/832409/841786/820014/831976/839678/816290/815304/821819/835035/835011/814896/823959/839878/829654/824666/821277/829750/843917/838598/831412/827588/843254/831813",31
"GO:0009845","GO:0009845","seed germination","66/3797","196/20875",1.40469035383391e-07,3.59992737191853e-06,2.18182626562452e-06,"836300/837531/829841/842314/831699/817800/838824/824751/823602/843776/819828/830916/842988/843777/836778/818862/827925/835878/831700/828945/839621/831020/836428/830144/817597/830345/835379/828239/828782/830744/837235/829022/818816/840311/829390/820816/828953/828094/820295/817830/816837/825517/828303/838057/838388/823991/843505/841922/841284/821338/5007942/836466/821899/822388/837417/824379/819129/821251/834300/843875/842536/819899/830812/835761/834805/819425",66
"GO:0019439","GO:0019439","aromatic compound catabolic process","93/3797","307/20875",1.49381711786774e-07,3.78433669859829e-06,2.29359216282416e-06,"836300/839244/823849/827134/819567/842281/830626/819561/828214/816309/837181/843996/837507/816553/829566/828127/839621/816307/817959/829266/839689/829765/829211/820530/842269/818511/819056/844417/820529/841891/828876/816257/829557/818220/833507/815269/821463/843900/827656/820548/840040/818559/824853/825221/837511/824459/831486/832060/838668/825027/831941/844250/837357/814826/838387/819563/814643/817767/818204/816585/839109/816652/832242/830963/829854/824599/820996/838449/829675/824172/838495/827413/839434/826714/816765/830052/820082/843207/839497/816623/820461/821250/817196/828579/816672/826642/823551/823847/839602/841140/842441/837660/838289",93
"GO:0007015","GO:0007015","actin filament organization","43/3797","109/20875",1.56768357811059e-07,3.92633477972242e-06,2.3796536610315e-06,"831687/828991/833544/834412/816548/839267/818077/841458/835554/827594/835516/829139/832171/829456/838333/818773/822317/824908/842285/843934/821534/828777/838614/816290/819230/836110/836111/822136/816495/823959/829654/822157/819943/819717/816795/823743/816171/834901/829750/843917/823744/838598/835761",43
"GO:0042254","GO:0042254","ribosome biogenesis","102/3797","346/20875",1.68899882958884e-07,4.18027716954307e-06,2.53356181495375e-06,"835323/841427/821074/820370/818665/830452/832102/816337/821116/831565/842752/842269/842943/831541/827098/815269/824391/843900/844229/838345/825221/814908/835612/837993/838163/821308/843744/844414/843746/839109/819374/838388/832123/820367/822043/832242/822476/816229/818299/820296/841284/824403/814652/838435/831372/839463/832832/818985/831956/836887/831853/828817/824683/824153/821120/837036/818188/831470/815456/819179/824424/843298/816564/837218/831405/821951/828265/839564/836238/824379/820170/820107/842294/838833/822524/834844/818531/841957/830810/841305/820478/820324/818524/839799/817947/828579/816569/819095/839460/825489/817766/837455/840799/836535/824694/838331/824741/820583/825283/824556/842622/839819",102
"GO:0006891","GO:0006891","intra-Golgi vesicle-mediated transport","21/3797","37/20875",1.70700973347948e-07,4.18027716954307e-06,2.53356181495375e-06,"822557/841666/825830/816678/842497/835532/818049/820842/843677/828587/829596/816514/831491/838398/829276/821377/829275/831071/843121/818915/835565",21
"GO:0030003","GO:0030003","intracellular monoatomic cation homeostasis","65/3797","193/20875",1.72924958719524e-07,4.18820449470144e-06,2.53836636917381e-06,"838028/818754/817800/829337/844299/829142/828899/830991/824539/829112/824714/832428/828981/844166/820622/814729/824900/839268/816988/820384/837280/841878/821357/832740/830063/837550/828316/840859/816413/817400/843934/815004/838614/842865/832773/843138/819999/820587/835939/823882/835557/824349/829226/814776/816018/842719/835841/834806/830843/819940/844422/824775/821899/816847/841529/820098/839411/830293/818723/824864/838710/822112/844014/820771/824790",65
"GO:1901361","GO:1901361","organic cyclic compound catabolic process","95/3797","317/20875",1.92400410258109e-07,4.609244610966e-06,2.79354829081854e-06,"836300/839244/823849/827134/819567/842281/830626/819561/828214/816309/837181/843996/837507/816553/814663/829566/828127/839621/816307/817959/829266/839689/829765/829211/820530/842269/818511/819056/844417/820529/841891/839335/828876/816257/829557/818220/833507/815269/821463/843900/827656/820548/840040/818559/824853/825221/837511/824459/831486/832060/838668/825027/831941/844250/837357/814826/838387/819563/814643/817767/818204/816585/839109/816652/832242/830963/829854/824599/820996/838449/829675/824172/838495/827413/839434/826714/816765/830052/820082/843207/839497/816623/820461/821250/817196/828579/816672/826642/823551/823847/839602/841140/842441/837660/838289",95
"GO:0009826","GO:0009826","unidimensional cell growth","108/3797","373/20875",2.01881767946056e-07,4.78438082315169e-06,2.89969398442043e-06,"835539/820600/832051/824863/833544/842193/842275/844082/838713/820201/837388/821435/821074/844301/837479/837958/830794/842414/843232/819627/836528/830303/830676/843677/832409/835217/843468/831565/832171/831400/842337/816556/814835/820450/820555/824309/838333/836504/836163/841891/844020/843512/831976/834200/828464/819814/818380/824831/829390/819832/831071/824280/820002/820142/821312/824568/824269/816248/831809/832693/836156/835035/821519/819979/840032/818260/842806/836555/841733/818011/814896/816495/827091/830453/834784/831902/818553/838203/830000/832418/824134/816171/835526/816346/843917/821224/843886/832941/826851/824072/838608/838598/824585/815247/824715/838276/842096/815101/843182/817444/829997/818656/28718283/835761/843908/831813/829612/833982",108
"GO:0034285","GO:0034285","response to disaccharide","34/3797","79/20875",2.69392838760994e-07,6.31640230456629e-06,3.82821402449834e-06,"843027/832206/819567/841427/843314/834434/834169/838676/839621/817597/820292/825834/829589/829922/822566/816878/829989/824599/828213/836244/822277/840895/819353/838259/820921/832149/817365/834300/817439/829611/821826/825414/834629/843806",34
"GO:0022411","GO:0022411","cellular component disassembly","50/3797","137/20875",2.86464129081067e-07,6.64596779468075e-06,4.02795545489057e-06,"817795/831870/820743/829804/825830/842414/824812/843273/836428/832409/840338/834415/829139/835056/821453/822473/838277/825397/826890/821408/828876/825452/816846/824876/843934/826889/838614/818678/826675/825344/820142/829202/837027/838387/833614/836110/838388/836111/816940/820611/822136/841284/821338/839203/819717/823743/816171/819125/823744/817103",50
"GO:0055080","GO:0055080","monoatomic cation homeostasis","80/3797","257/20875",3.16807793652138e-07,7.27337892926367e-06,4.40821370772547e-06,"838028/818754/817800/829337/842281/844299/829142/828899/830991/824539/829112/824714/832428/828981/844166/820622/814729/814844/824900/839268/816988/820384/837280/830529/825834/841878/821357/832740/830063/837550/828316/840859/816413/817400/843934/815004/838614/842865/832773/843138/819999/820587/835939/828764/823882/835557/824349/829226/814776/837365/816018/831259/835697/842719/835841/834806/830843/819940/844422/829919/840139/824775/839349/821899/816847/831874/824087/841529/820098/839411/830293/838622/818723/824864/838710/835246/822112/844014/820771/824790",80
"GO:0008219","GO:0008219","cell death","65/3797","196/20875",3.2673816075909e-07,7.42402996199004e-06,4.49951954425703e-06,"818754/839566/823593/842281/837393/843615/820317/843620/818077/842736/832170/844066/827714/843462/829566/836686/834842/824900/818435/824405/815862/835513/831889/829733/834517/835203/834561/834758/829480/829785/842754/834562/839642/829589/816258/832507/824853/837775/820730/839232/828626/839808/829993/829800/834543/819984/840113/842710/829854/840148/837365/839203/827835/822525/817746/838508/838880/828614/819840/820477/829949/3768908/819827/841140/836574",65
"GO:0006892","GO:0006892","post-Golgi vesicle-mediated transport","23/3797","44/20875",3.35189776609532e-07,7.47421336080549e-06,4.52993445164876e-06,"842275/838713/820201/825257/830440/825505/835046/825830/824714/824451/837568/836725/841164/839001/843468/827690/844020/832756/824831/831112/819740/827127/834409",23
"GO:0050832","GO:0050832","defense response to fungus","84/3797","274/20875",3.35729184537089e-07,7.47421336080549e-06,4.52993445164876e-06,"829308/827612/829466/817628/825650/818670/842281/842275/837393/832660/818591/837635/821832/830916/816500/827714/837071/821297/834842/836825/819552/824405/831020/831889/818605/829480/821453/829589/825189/840859/834545/825135/825452/832756/826093/836819/818429/836824/841792/840250/820295/825344/837506/819740/818581/818715/821343/819941/816585/834313/832123/843874/839392/821965/829277/842291/825815/842775/826714/820980/832686/841670/815943/820429/836578/825371/820181/817369/833204/838508/817039/836602/826458/824072/824261/837773/839602/817901/5007997/841970/836281/821788/839688/823481",84
"GO:0010228","GO:0010228","vegetative to reproductive phase transition of meristem","83/3797","271/20875",4.11346524843742e-07,9.03723532410281e-06,5.4772431112267e-06,"839566/839740/838420/817721/837346/839314/827954/820895/834246/837093/817919/824897/838690/838883/834204/817793/841968/821132/818568/830303/837598/837501/817857/814786/844241/819579/822085/819104/831529/827904/835595/831743/821075/816870/844407/843571/844055/837579/819814/834736/818841/821192/838655/834663/818942/822505/836385/843079/827788/820202/816837/836431/832055/821831/828303/844042/824341/837113/838388/840438/826499/834883/841922/829697/830566/836466/836364/830024/843330/816773/839497/832392/820391/839864/827093/834815/821298/830812/834439/821788/832537/827917/832555",83
"GO:0048878","GO:0048878","chemical homeostasis","116/3797","413/20875",4.14138279371318e-07,9.03723532410281e-06,5.4772431112267e-06,"838028/818754/817800/829337/831483/835427/821047/841427/842281/840543/844299/829142/828899/830991/824539/829112/824714/832428/827470/828981/844166/838199/820622/814729/814844/834842/824900/839268/816988/820384/837280/820831/835379/830529/825834/841878/837140/821357/832740/830063/837550/839651/828316/840859/816413/837235/817400/843934/817055/815004/838614/842865/832773/843138/819999/820587/835939/828764/823882/835557/836550/838057/843015/824349/829226/828747/842710/814776/828213/837365/816018/831259/835697/825892/826819/842719/835841/834806/827676/830843/819940/830453/844422/829919/840139/824775/833535/839349/821899/816847/842776/828374/819329/837997/829747/831874/824087/820582/841529/820098/843186/821924/839411/830293/843161/838622/818723/824864/821788/841044/838710/835246/822112/844014/820771/824790",116
"GO:0009744","GO:0009744","response to sucrose","33/3797","77/20875",4.5231563231924e-07,9.77356523168239e-06,5.9235143179888e-06,"843027/832206/819567/841427/843314/834434/834169/838676/839621/817597/820292/825834/829589/829922/816878/829989/824599/828213/836244/822277/840895/819353/838259/820921/832149/817365/834300/817439/829611/821826/825414/834629/843806",33
"GO:0031047","GO:0031047","regulatory ncRNA-mediated gene silencing","42/3797","109/20875",4.64324471218767e-07,9.93564208316663e-06,6.02174505852443e-06,"836300/830626/835150/839081/837322/818591/831597/819210/842988/823508/817919/822389/827925/828259/817938/840143/840016/827323/828599/823960/830308/834160/817252/831141/838354/819852/816650/832372/832140/818942/828654/816462/832055/828163/834443/821587/819950/827277/5007942/826714/817369/817365",42
"GO:0006406","GO:0006406","mRNA export from nucleus","20/3797","36/20875",5.39243187372407e-07,1.12121885374414e-05,6.79542805139607e-06,"819803/844268/839081/820629/830452/834304/842943/837869/833750/844407/820234/837579/828491/824604/831253/816462/821174/822329/842783/834532",20
"GO:0051028","GO:0051028","mRNA transport","20/3797","36/20875",5.39243187372407e-07,1.12121885374414e-05,6.79542805139607e-06,"819803/844268/839081/820629/830452/834304/842943/837869/833750/844407/820234/837579/828491/824604/831253/816462/821174/822329/842783/834532",20
"GO:0098876","GO:0098876","vesicle-mediated transport to the plasma membrane","20/3797","36/20875",5.39243187372407e-07,1.12121885374414e-05,6.79542805139607e-06,"842275/838713/820201/825257/830440/835046/825830/828155/841164/843468/838077/844020/832756/824831/821573/831112/819740/829993/830160/819330",20
"GO:0022618","GO:0022618","protein-RNA complex assembly","48/3797","132/20875",5.55776654232506e-07,1.14479602423219e-05,6.93832340601132e-06,"839314/829822/831610/838690/827925/829702/844347/819552/826746/842382/834683/816260/821276/818311/835215/838647/817576/837993/843744/843746/828163/820367/820296/838435/819950/821120/837036/818188/819179/824424/831405/839564/843963/836238/832834/820170/829145/818947/816925/834844/816389/818531/830810/820324/836535/824694/825283/829156",48
"GO:0006790","GO:0006790","sulfur compound metabolic process","106/3797","373/20875",7.02074930003047e-07,1.40952004480543e-05,8.54274972231391e-06,"840521/831888/817628/833655/842281/840543/820083/839515/821634/818902/816815/835882/826456/839429/835527/829440/819056/834160/824340/832223/835466/835598/821463/820331/818429/829106/829556/838684/839303/829256/828798/824385/839031/826975/835557/816585/830336/837610/842375/827357/838445/840001/818260/822181/819654/825167/838580/816271/827118/839891/843982/815134/831532/829277/817637/842043/828100/832311/830153/843750/823491/823557/816765/833497/840346/838544/841670/834407/820082/827931/821292/821003/818937/843107/830591/829880/835567/817847/817609/825376/819386/841842/814903/839602/838440/815963/843749/832872/836280/827011/842897/832365/820639/842928/821845/821508/834943/838211/832366/838210/837277/825068/843165/844173/838289/818912",106
"GO:0009644","GO:0009644","response to high light intensity","30/3797","68/20875",7.03480966100712e-07,1.40952004480543e-05,8.54274972231391e-06,"825146/837071/837246/823893/844298/830320/815111/823901/829567/822525/836244/835515/819358/841099/841995/824654/818531/820828/827463/824694/842446/825320/836789/818854/843099/824246/815058/831799/815055/822391",30
"GO:0051168","GO:0051168","nuclear export","30/3797","68/20875",7.03480966100712e-07,1.40952004480543e-05,8.54274972231391e-06,"819803/844268/830499/839081/820629/821074/842002/819605/830452/834304/831565/843588/842943/837869/833750/844407/820234/837579/828491/824604/818668/814908/831253/816462/835612/821174/822329/832123/842783/834532",30
"GO:0048831","GO:0048831","regulation of shoot system development","60/3797","180/20875",7.50192257748238e-07,1.46723754461745e-05,8.89256110478341e-06,"844268/841357/817721/836560/834246/820093/844066/834204/836845/839621/827323/819579/833676/827904/830498/836163/844312/816870/844407/839226/819619/836557/829390/815177/817830/820318/831486/832379/818581/818942/827788/842395/820202/821831/828303/835872/844042/821432/837610/843550/817016/816316/836201/818463/830453/816579/819174/835028/821667/842958/836212/836337/820472/819127/829824/821298/838674/834869/832537/832555",60
